VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01/01/2024 00:17,01/01/2024 00:30,1,1.39,1,N,79,90,1,12.8,1,0.5,5.34,0,1,23.14,2.5,0
2,01/01/2024 00:36,01/01/2024 00:49,1,1.31,1,N,90,246,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,01/01/2024 00:18,01/01/2024 00:21,1,0.75,1,N,238,239,1,5.8,1,0.5,1.08,0,1,11.88,2.5,0
2,01/01/2024 00:26,01/01/2024 00:31,1,1.02,1,N,239,151,1,7.2,1,0.5,2,0,1,14.2,2.5,0
2,01/01/2024 00:32,01/01/2024 00:42,1,1.54,1,N,151,143,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,01/01/2024 00:43,01/01/2024 00:46,1,0.62,1,N,143,239,1,5.8,1,0.5,2,0,1,12.8,2.5,0
2,01/01/2024 00:47,01/01/2024 01:22,1,4.14,1,N,239,249,1,31.7,1,0.5,7.34,0,1,44.04,2.5,0
2,01/01/2024 00:22,01/01/2024 00:33,1,2.35,1,N,229,113,1,13.5,1,0.5,4.62,0,1,23.12,2.5,0
2,01/01/2024 00:49,01/01/2024 00:53,2,0.53,1,N,90,186,1,5.8,1,0.5,2.16,0,1,12.96,2.5,0
2,01/01/2024 00:06,01/01/2024 00:31,2,16.4,2,N,132,170,2,70,0,0.5,0,6.94,1,82.69,2.5,1.75
2,01/01/2024 00:37,01/01/2024 01:04,1,3.05,1,N,170,143,1,24.7,1,0.5,5.94,0,1,35.64,2.5,0
2,01/01/2024 00:12,01/01/2024 00:20,3,0.95,1,N,229,163,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01/01/2024 00:22,01/01/2024 01:03,2,4.72,1,N,163,144,1,35.2,1,0.5,0,0,1,40.2,2.5,0
2,01/01/2024 00:30,01/01/2024 00:58,1,4.47,1,N,170,239,1,27.5,1,0.5,6.5,0,1,39,2.5,0
2,01/01/2024 00:24,01/01/2024 00:38,3,1.16,1,N,163,170,1,12.8,1,0.5,4.45,0,1,22.25,2.5,0
2,01/01/2024 00:48,01/01/2024 00:57,3,1.91,1,N,229,263,2,11.4,1,0.5,0,0,1,16.4,2.5,0
1,01/01/2024 00:21,01/01/2024 00:40,2,6.4,1,N,163,88,1,29.6,3.5,0.5,2,0,1,36.6,2.5,0
1,01/01/2024 00:45,01/01/2024 01:16,2,8.2,1,N,88,177,1,38.7,3.5,0.5,5,0,1,48.7,2.5,0
1,01/01/2024 00:58,01/01/2024 01:23,1,2.8,1,N,162,144,1,18.4,3.5,0.5,5,0,1,28.4,2.5,0
2,01/01/2024 00:22,01/01/2024 00:41,1,3.71,1,N,249,97,1,21.2,1,0.5,5.24,0,1,31.44,2.5,0
2,01/01/2024 00:57,01/01/2024 01:15,2,2.4,1,N,148,162,1,17,1,0.5,4.4,0,1,26.4,2.5,0
2,01/01/2024 00:14,01/01/2024 00:55,3,3.86,1,N,246,209,1,33.1,1,0.5,7.62,0,1,45.72,2.5,0
1,01/01/2024 00:09,01/01/2024 00:17,1,1.9,1,N,263,74,1,10.7,3.5,0.5,3.1,0,1,18.8,2.5,0
1,01/01/2024 00:32,01/01/2024 00:35,1,0.6,1,N,263,141,1,5.8,3.5,0.5,2.15,0,1,12.95,2.5,0
1,01/01/2024 00:58,01/01/2024 01:08,1,1.9,1,N,263,238,1,11.4,3.5,0.5,3.25,0,1,19.65,2.5,0
2,01/01/2024 00:28,01/01/2024 00:36,2,2.54,1,N,163,75,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,01/01/2024 00:40,01/01/2024 00:44,2,1.11,1,N,263,237,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,01/01/2024 00:47,01/01/2024 00:56,2,2.25,1,N,237,239,1,12.8,1,0.5,5.34,0,1,23.14,2.5,0
2,01/01/2024 00:12,01/01/2024 00:17,1,1.02,1,N,238,24,1,7.2,1,0.5,3.05,0,1,15.25,2.5,0
2,01/01/2024 00:18,01/01/2024 00:38,1,2.94,1,N,24,75,2,15.6,1,0.5,0,0,1,18.1,0,0
2,01/01/2024 00:40,01/01/2024 00:55,1,2.56,1,N,166,244,2,14.2,1,0.5,0,0,1,16.7,0,0
2,01/01/2024 00:12,01/01/2024 00:21,1,0.86,1,N,88,87,2,10,1,0.5,0,0,1,15,2.5,0
2,01/01/2024 00:33,01/01/2024 01:12,1,4.31,1,N,261,50,1,35.2,1,0.5,1,0,1,41.2,2.5,0
2,01/01/2024 00:34,01/01/2024 00:51,1,3.06,1,N,141,238,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
2,01/01/2024 00:58,01/01/2024 01:13,1,2.18,1,N,239,262,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
1,01/01/2024 00:24,01/01/2024 00:30,1,1.6,1,N,236,43,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
2,01/01/2024 00:09,01/01/2024 00:21,1,1.23,1,N,140,162,1,11.4,1,0.5,4.1,0,1,20.5,2.5,0
2,01/01/2024 00:36,01/01/2024 00:56,4,2.44,1,N,234,237,1,18.4,1,0.5,4,0,1,27.4,2.5,0
1,01/01/2024 00:11,01/01/2024 00:29,3,2.2,1,N,142,162,1,17.7,3.5,0.5,6.8,0,1,29.5,2.5,0
1,01/01/2024 00:36,01/01/2024 00:56,1,1.6,1,N,237,164,1,18.4,3.5,0.5,4.65,0,1,28.05,2.5,0
2,01/01/2024 00:10,01/01/2024 00:13,2,1.07,1,N,263,237,1,7.2,1,0.5,0,0,1,12.2,2.5,0
2,01/01/2024 00:35,01/01/2024 00:53,2,1.36,1,N,162,43,2,15.6,1,0.5,0,0,1,20.6,2.5,0
